                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.63523,                0.52533,                0.96909,                0.90313,                0.90412,                0.93566,                0.76337,                0.54344,                0.45149,                0.85275,             0.00068505,             0.00068505,             0.00068505
                    121,                0.62774,                0.52225,                 0.9602,                0.92428,                0.89384,                0.93532,                0.75699,                0.53861,                0.45541,                0.85471,              0.0006768,              0.0006768,              0.0006768
                    122,                0.61245,                0.50112,                0.93867,                0.94621,                0.86734,                0.93502,                0.76021,                0.56159,                0.46367,                0.86375,             0.00066855,             0.00066855,             0.00066855
                    123,                0.63152,                0.55329,                0.96944,                0.92783,                0.89331,                0.93685,                0.77676,                0.53711,                0.44555,                  0.857,              0.0006603,              0.0006603,              0.0006603
                    124,                0.63192,                 0.5258,                0.95356,                0.95356,                0.88056,                0.93481,                0.77498,                0.52492,                0.44045,                0.85122,             0.00065205,             0.00065205,             0.00065205
                    125,                0.63993,                0.52515,                 0.9477,                0.93947,                 0.8812,                0.93413,                 0.7738,                0.53566,                0.45114,                0.85508,              0.0006438,              0.0006438,              0.0006438
                    126,                0.63301,                0.50784,                0.94546,                0.92975,                0.88678,                0.93708,                0.77474,                0.53272,                0.45265,                0.85022,             0.00063554,             0.00063554,             0.00063554
                    127,                0.62983,                0.52345,                0.96597,                0.93629,                0.88719,                0.93863,                0.78664,                0.50943,                0.43854,                0.84521,             0.00062729,             0.00062729,             0.00062729
                    128,                0.63114,                0.50326,                0.95135,                0.93878,                0.89097,                0.93947,                0.80017,                0.49398,                0.42831,                0.84357,             0.00061904,             0.00061904,             0.00061904
                    129,                 0.6196,                0.48979,                0.96269,                0.94202,                0.89396,                0.94256,                0.79552,                0.49702,                0.42069,                0.83882,             0.00061079,             0.00061079,             0.00061079
                    130,                0.60056,                 0.5051,                0.95801,                0.93924,                 0.8997,                0.93897,                0.79448,                0.51518,                0.42121,                0.84194,             0.00060254,             0.00060254,             0.00060254
                    131,                0.59267,                0.47643,                0.95093,                0.92827,                0.90155,                0.93951,                0.80097,                 0.4955,                0.42189,                0.83619,             0.00059429,             0.00059429,             0.00059429
                    132,                0.61219,                0.53751,                0.95025,                0.92743,                0.90058,                0.93799,                0.80094,                0.50111,                0.43869,                0.83794,             0.00058603,             0.00058603,             0.00058603
                    133,                0.58893,                0.52399,                0.94804,                0.94217,                0.89445,                0.93805,                0.79895,                0.50571,                0.43794,                0.83885,             0.00057778,             0.00057778,             0.00057778
                    134,                0.59297,                 0.5012,                0.94263,                0.93495,                0.90098,                 0.9394,                0.79216,                0.50192,                0.43516,                0.83658,             0.00056953,             0.00056953,             0.00056953
                    135,                0.59687,                 0.5085,                0.95191,                0.92665,                 0.9015,                0.93698,                0.79002,                 0.4959,                0.41838,                0.83561,             0.00056128,             0.00056128,             0.00056128
                    136,                0.58871,                0.47739,                0.94816,                0.95291,                0.88286,                0.93774,                0.79162,                 0.4869,                0.41412,                0.83187,             0.00055303,             0.00055303,             0.00055303
                    137,                0.58142,                0.48748,                0.93799,                 0.9389,                0.89488,                0.93789,                0.79174,                0.48783,                0.41331,                0.82988,             0.00054478,             0.00054478,             0.00054478
                    138,                0.56213,                0.49539,                0.93189,                 0.9248,                0.90943,                0.93743,                0.79162,                0.49114,                0.41434,                0.83022,             0.00053652,             0.00053652,             0.00053652
                    139,                0.60695,                0.50301,                0.93959,                 0.9384,                0.90269,                0.93563,                0.79519,                0.48766,                0.41038,                0.82891,             0.00052827,             0.00052827,             0.00052827
                    140,                0.59249,                0.49329,                0.94085,                0.93873,                0.89852,                0.93783,                0.79903,                0.48654,                0.41425,                0.82895,             0.00052002,             0.00052002,             0.00052002
                    141,                0.58137,                0.48647,                0.93304,                0.94222,                0.90045,                0.93795,                0.80033,                0.47651,                0.40552,                0.82463,             0.00051177,             0.00051177,             0.00051177
                    142,                0.57231,                0.47048,                0.92694,                0.93778,                0.90584,                0.93887,                0.80445,                0.46311,                0.40343,                0.82162,             0.00050352,             0.00050352,             0.00050352
                    143,                0.56164,                0.47644,                0.91762,                0.92873,                0.89987,                0.93796,                0.80445,                0.46441,                0.39941,                0.81986,             0.00049527,             0.00049527,             0.00049527
                    144,                0.58124,                0.48685,                0.93277,                0.92187,                0.90706,                0.93709,                0.80856,                0.46765,                0.40626,                0.82269,             0.00048701,             0.00048701,             0.00048701
                    145,                0.59347,                0.50286,                0.94616,                 0.9177,                0.90349,                 0.9353,                0.80873,                0.46556,                0.40307,                0.82243,             0.00047876,             0.00047876,             0.00047876
                    146,                0.59006,                0.46627,                0.94003,                0.91227,                0.90407,                0.93556,                0.80703,                0.46325,                 0.3993,                0.82035,             0.00047051,             0.00047051,             0.00047051
                    147,                0.59669,                0.50351,                0.93312,                0.91866,                0.90466,                0.93623,                0.80302,                 0.4685,                0.40392,                0.82054,             0.00046226,             0.00046226,             0.00046226
                    148,                0.57397,                0.50352,                0.93668,                 0.9197,                0.90659,                0.93647,                0.80089,                0.46325,                0.40635,                0.81935,             0.00045401,             0.00045401,             0.00045401
                    149,                0.56373,                0.45804,                 0.9371,                0.93419,                0.88681,                0.93721,                0.79292,                0.46057,                0.39799,                0.81822,             0.00044576,             0.00044576,             0.00044576
                    150,                0.55311,                0.48762,                0.92287,                0.91717,                0.89979,                0.93767,                0.81066,                  0.446,                0.39462,                0.82018,              0.0004375,              0.0004375,              0.0004375
